network,station,lat,lon,dist,tP,tS
GE,DAG,76.771301,-18.655001,66.5926008656084,650.4129750622701,1182.3446255077365
GE,DSB,53.245201,-6.3762,76.16628765502453,708.2868889437259,1292.989618857765
GE,GSI,1.3039,97.5755,30.203829897314993,370.53671437524525,670.8374760466305
GE,GVD,34.839199,24.087299,64.86852678258516,639.2783566375588,1161.2844858026704
GE,HLG,54.1847,7.8839,68.31937750357552,661.3481473135714,1203.094718122576
GE,HMDM,6.77314,73.182159,37.22488714985857,431.4512236870485,779.2892636025339
GE,IBBN,52.306301,7.7592,69.14343821627575,666.4900932680234,1212.8753606301282
GE,ISP,37.8433,30.5093,58.99464441105505,599.7231891491297,1087.0001183206878
GE,KAAM,0.49264,72.994858,41.95410295160398,470.83568386320877,850.1734619437993
GE,KARN,35.401901,23.9174,64.79238576056512,638.7816142738109,1160.3464916974815
GE,KBS,78.925598,11.9417,59.91679270536257,606.0989289577986,1098.9189984176107
GE,KMBO,-1.1268,37.2523,70.34070773332003,673.8724114485643,1226.9445315559567
GE,KSDI,33.192001,35.659,56.380883598193044,581.3170481953864,1052.7021244212826
GE,KWP,49.630501,22.7078,61.17108608715208,614.6720781771855,1114.978630121603
GE,LAST,35.161098,25.4786,63.68945134363784,631.5391919013636,1146.6860985860092
GE,LUWI,-1.0418,122.771698,36.95173826588444,429.132326729443,775.1360150319969
GE,MAHO,39.895901,4.2665,76.94102514380786,712.6736997469225,1301.4667528821085
GE,MALT,38.3134,38.427299,52.855230997402856,555.7025806133466,1005.2457899502585
GE,MATE,40.649071,16.70442,68.09956461876988,659.9682607268567,1200.4723454851598
GE,MAUI,20.7668,-156.244797,87.79076852187104,769.276015964581,1412.25169456135
GE,MELI,35.2938,-2.935,84.21458874942728,751.6353589452006,1377.4137930452032
GE,MMRI,-8.6357,122.237602,43.55406928918961,483.81981978767794,873.6881423909505
GE,MNAI,-4.3605,102.955704,35.36304398929605,415.55588542263433,750.86269960779
GE,MORC,49.7766,17.542801,64.3268465497481,635.73540812005,1154.597350912621
GE,MTE,40.3997,-7.5442,84.23395853884828,751.7336513439088,1377.607038417275
GE,PMBI,-2.927,104.772003,33.952185660559884,403.37703256795714,729.1475773971098
GE,PMG,-9.4092,147.1539,58.22292488830129,594.3403964008727,1076.9515615543523
GE,PSZ,47.918201,19.8934,63.43446845239611,629.8522057294801,1143.5082134697209
GE,PUL,59.766998,30.316999,55.20971054879695,572.9086743798626,1037.0895869860153
